Time,1.Temperature(C),1.Wind(m/s),2.Temperature(C),2.Wind(m/s),3.Temperature(C),3.Wind(m/s),4.Temperature(C),4.Wind(m/s),5.Temperature(C),5.Wind(m/s),6.Temperature(C),6.Wind(m/s),7.Temperature(C),7.Wind(m/s),8.Temperature(C),8.Wind(m/s),8.Pressure(Pa),9.Temperature(C),9.Wind(m/s),9.Pressure(Pa)
1756173313000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173318000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173323000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173338000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173343000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173348000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173353000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173358000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173363000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173368000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173374000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173395000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173415000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173425000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173435000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173445000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173455000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173485000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173506000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173516000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173521000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173526000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173531000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173546000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173551000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173556000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173561000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173566000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173571000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173576000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173581000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173586000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173591000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173596000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173601000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173606000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173611000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173617000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173622000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173627000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173632000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173637000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173642000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173647000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173652000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173657000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173662000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173667000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173672000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173677000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756173683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
